subject,index,condition,distance_to_null
NODEAP_56,183,S,4.1728873
NODEAP_56,184,C,2.8022072
NODEAP_56,185,C,3.2531536
NODEAP_56,186,S,2.980463
NODEAP_59,188,S,4.59565
NODEAP_59,189,C,2.2182276
NODEAP_59,190,C,4.2518816
NODEAP_59,191,S,2.1412601
NODEAP_59,192,S,2.151737
NODEAP_59,193,S,4.106646
NODEAP_60,195,C,3.7975044
NODEAP_60,196,S,2.872509
NODEAP_60,197,S,3.2660983
NODEAP_60,198,S,4.3429217
NODEAP_60,199,S,3.1064894
NODEAP_60,200,C,3.6274276
NODEAP_63,202,S,3.678649
NODEAP_63,203,S,6.1176934
NODEAP_63,204,C,3.8009725
NODEAP_63,205,S,3.2195997
NODEAP_63,206,S,5.005664
NODEAP_63,207,C,2.8968258
NODEAP_64,209,C,3.059852
NODEAP_64,210,S,3.1134918
NODEAP_64,211,S,3.6468768
NODEAP_64,212,S,3.3282027
NODEAP_64,213,S,3.8723047
NODEAP_64,214,C,2.6062255
NODEAP_65,216,C,2.655928
NODEAP_65,217,S,3.394913
NODEAP_65,218,S,2.3336656
NODEAP_65,219,C,2.9825997
NODEAP_65,220,S,2.4881344
NODEAP_65,221,S,3.2731385
NODEAP_66,223,S,3.2803502
NODEAP_66,224,C,3.4171424
NODEAP_66,225,C,4.7510824
NODEAP_66,226,S,3.1953158
NODEAP_66,227,S,2.970836
NODEAP_66,228,S,2.443737
NODEAP_68,230,C,1.690735
NODEAP_68,231,S,3.1830957
NODEAP_68,232,S,2.153048
NODEAP_68,233,S,2.6817136
NODEAP_68,234,S,3.858331
NODEAP_68,235,C,3.58637
NODEAP_70,237,S,3.0508122
NODEAP_70,238,S,3.052112
NODEAP_70,239,C,2.5787165
NODEAP_70,240,S,3.7668762
NODEAP_70,241,S,4.5203667
NODEAP_70,242,C,5.5620995
NODEAP_73,244,C,3.6161673
NODEAP_73,245,S,2.158344
NODEAP_73,246,S,3.5634375
NODEAP_73,247,C,1.3939477
NODEAP_73,248,S,3.3783135
NODEAP_73,249,S,3.1395278
NODEAP_74,251,S,2.7447176
NODEAP_74,252,S,2.773667
NODEAP_74,253,C,2.7821374
NODEAP_74,254,S,3.5819645
NODEAP_74,255,S,3.3219726
NODEAP_74,256,C,3.0707414
NODEAP_76,258,S,2.2405634
NODEAP_76,259,C,1.9170637
NODEAP_76,260,C,3.8865623
NODEAP_76,261,S,2.1165147
NODEAP_76,262,S,3.1584132
NODEAP_76,263,S,1.9032811
NODEAP_77,265,C,2.6864998
NODEAP_77,266,S,2.6468022
NODEAP_77,267,S,1.5198383
NODEAP_77,268,S,3.4739304
NODEAP_77,269,S,3.3686388
NODEAP_77,270,C,2.938882
NODEAP_78,272,S,0.0
NODEAP_78,273,C,1.5608803
NODEAP_78,274,S,3.545833
NODEAP_78,275,S,2.3304453
NODEAP_78,276,C,2.239142
NODEAP_78,277,S,2.1831563
NODEAP_79,279,S,2.7955883
NODEAP_79,280,C,1.5739712
NODEAP_79,281,S,2.965584
NODEAP_79,282,S,3.0674014
NODEAP_79,283,C,2.958651
NODEAP_79,284,S,2.3726463
NODEAP_80,286,S,2.093546
NODEAP_80,287,C,3.4320457
NODEAP_80,288,S,2.2362497
NODEAP_80,289,S,2.3519716
NODEAP_80,290,C,3.4701083
NODEAP_80,291,S,3.9669955
NODEAP_83,293,S,2.9232724
NODEAP_83,294,S,2.7844205
NODEAP_83,295,C,3.220647
NODEAP_83,296,S,3.3115308
NODEAP_83,297,C,3.5598276
NODEAP_84,299,S,1.9555144
NODEAP_84,300,S,1.9509554
NODEAP_84,301,C,3.3374841
NODEAP_84,302,S,2.9600816
NODEAP_84,303,S,2.010664
NODEAP_84,304,C,3.3380544
NODEAP_85,306,C,2.2475395
NODEAP_85,307,S,3.7494357
NODEAP_85,308,S,2.7763822
NODEAP_85,309,S,2.877501
NODEAP_85,310,S,2.7625453
NODEAP_85,311,C,1.7581763
NODEAP_86,313,C,6.627408
NODEAP_86,314,S,4.407547
NODEAP_86,315,S,3.6267488
NODEAP_86,316,C,3.4969103
NODEAP_86,317,S,4.7139816
NODEAP_86,318,S,4.1430616
