subject,index,condition,session,distance_to_null
NODEAP_45,143,S,S3D1,2.4247584
NODEAP_45,144,C,S3D2,2.728046
NODEAP_46,146,S,S1D1,3.7069137
NODEAP_46,147,C,S1D2,5.740554
NODEAP_46,148,C,S2D1,3.9189289
NODEAP_46,149,S,S2D2,4.8375387
NODEAP_46,150,S,S3D1,4.6151505
NODEAP_46,151,S,S3D2,3.3150725
NODEAP_48,153,C,S1D1,3.106822
NODEAP_48,154,S,S1D2,2.6265342
NODEAP_48,155,S,S2D1,3.4092515
NODEAP_48,156,C,S2D2,4.0825663
NODEAP_48,157,S,S3D1,3.018436
NODEAP_48,158,S,S3D2,3.304998
NODEAP_51,160,S,S1D1,5.6451926
NODEAP_51,161,S,S1D2,3.8665233
NODEAP_51,162,S,S2D1,4.5835404
NODEAP_51,163,C,S2D2,5.7488513
NODEAP_51,164,C,S3D1,3.8025587
NODEAP_51,165,S,S3D2,5.04513
NODEAP_53,167,S,S1D1,2.1958115
NODEAP_53,168,C,S1D2,4.339957
NODEAP_53,169,S,S2D1,3.2524872
NODEAP_53,170,S,S2D2,2.9839036
NODEAP_53,171,C,S3D1,3.1436105
NODEAP_53,172,S,S3D2,1.8396055
NODEAP_55,174,S,S1D1,3.063835
NODEAP_55,175,S,S1D2,1.8491855e-07
NODEAP_55,176,C,S2D1,3.0942652
NODEAP_55,177,S,S2D2,3.136532
NODEAP_55,178,S,S3D1,3.799804
NODEAP_55,179,C,S3D2,4.0161138
NODEAP_56,181,S,S1D1,1.9221269
NODEAP_56,182,S,S1D2,2.9361606
NODEAP_56,183,S,S2D1,2.6640937
NODEAP_56,184,C,S2D2,3.9038115
NODEAP_56,185,C,S3D1,2.037315
NODEAP_56,186,S,S3D2,1.7819378
NODEAP_59,188,S,S1D1,4.4569173
NODEAP_59,189,C,S1D2,4.8147755
NODEAP_59,190,C,S2D1,4.940754
NODEAP_59,191,S,S2D2,4.918092
NODEAP_59,192,S,S3D1,3.8142095
NODEAP_59,193,S,S3D2,4.519456
NODEAP_60,195,C,S1D1,3.7297897
NODEAP_60,196,S,S1D2,2.1422696
NODEAP_60,197,S,S2D1,2.3936687
NODEAP_60,198,S,S2D2,2.3724523
NODEAP_60,199,S,S3D1,3.2327025
NODEAP_60,200,C,S3D2,2.2450867
NODEAP_63,202,S,S1D1,2.6490855
NODEAP_63,203,S,S1D2,5.732918
NODEAP_63,204,C,S2D1,2.4764862
NODEAP_63,205,S,S2D2,2.9444366
NODEAP_63,206,S,S3D1,2.463202
NODEAP_63,207,C,S3D2,2.8503222
NODEAP_64,209,C,S1D1,2.7923954
NODEAP_64,210,S,S1D2,3.0025458
NODEAP_64,211,S,S2D1,2.9090168
NODEAP_64,212,S,S2D2,3.8058622
NODEAP_64,213,S,S3D1,5.933277
NODEAP_64,214,C,S3D2,3.5174856
NODEAP_65,216,C,S1D1,2.9510534
NODEAP_65,217,S,S1D2,3.3383913
NODEAP_65,218,S,S2D1,3.5792415
NODEAP_65,219,C,S2D2,2.399829
NODEAP_65,220,S,S3D1,2.6565259
NODEAP_65,221,S,S3D2,1.4813415
NODEAP_66,223,S,S1D1,1.9708849
NODEAP_66,224,C,S1D2,3.3488572
NODEAP_66,225,C,S2D1,2.1187952
NODEAP_66,226,S,S2D2,2.0602024
NODEAP_66,227,S,S3D1,2.1248124
NODEAP_66,228,S,S3D2,2.0821314
NODEAP_68,230,C,S1D1,3.1017928
NODEAP_68,231,S,S1D2,3.7388566
NODEAP_68,232,S,S2D1,3.573101
NODEAP_68,233,S,S2D2,3.0760276
NODEAP_68,234,S,S3D1,3.8081474
NODEAP_68,235,C,S3D2,3.2634604
NODEAP_70,237,S,S1D1,5.7665043
NODEAP_70,238,S,S1D2,4.7019696
NODEAP_70,239,C,S2D1,3.3008904
NODEAP_70,240,S,S2D2,4.2864113
NODEAP_70,241,S,S3D1,4.3884125
NODEAP_70,242,C,S3D2,4.7529597
NODEAP_73,244,C,S1D1,3.65239
NODEAP_73,245,S,S1D2,5.3116236
NODEAP_73,246,S,S2D1,2.4379773
NODEAP_73,247,C,S2D2,3.8205352
NODEAP_73,248,S,S3D1,2.272663
NODEAP_73,249,S,S3D2,3.7369356
NODEAP_74,251,S,S1D1,2.8412385
NODEAP_74,252,S,S1D2,3.5889778
NODEAP_74,253,C,S2D1,2.4240046
NODEAP_74,254,S,S2D2,2.5017684
NODEAP_74,255,S,S3D1,2.9629078
NODEAP_74,256,C,S3D2,2.8217862
NODEAP_76,258,S,S1D1,3.0680363
NODEAP_76,259,C,S1D2,2.1936052
NODEAP_76,260,C,S2D1,3.8623366
NODEAP_76,261,S,S2D2,3.961244
NODEAP_76,262,S,S3D1,4.7796936
NODEAP_76,263,S,S3D2,2.8242629
NODEAP_77,265,C,S1D1,2.761728
NODEAP_77,266,S,S1D2,2.3411818
NODEAP_77,267,S,S2D1,1.8439327
NODEAP_77,268,S,S2D2,3.0457335
NODEAP_77,269,S,S3D1,2.4505217
NODEAP_77,270,C,S3D2,2.4752312
NODEAP_78,272,S,S1D1,0.0
NODEAP_78,273,C,S1D2,2.1284864
NODEAP_78,274,S,S2D1,3.8262014
NODEAP_78,275,S,S2D2,4.0293627
NODEAP_78,276,C,S3D1,2.1215844
NODEAP_78,277,S,S3D2,2.4316292
NODEAP_79,279,S,S1D1,3.3971448
NODEAP_79,280,C,S1D2,3.2689908
NODEAP_79,281,S,S2D1,3.0821893
NODEAP_79,282,S,S2D2,4.2642016
NODEAP_79,283,C,S3D1,3.0599124
NODEAP_79,284,S,S3D2,5.343387
NODEAP_80,286,S,S1D1,2.359849
NODEAP_80,287,C,S1D2,3.927828
NODEAP_80,288,S,S2D1,4.8043685
NODEAP_80,289,S,S2D2,2.0751393
NODEAP_80,290,C,S3D1,3.5385394
NODEAP_80,291,S,S3D2,2.6342864
NODEAP_83,293,S,S1D1,2.9629092
NODEAP_83,294,S,S1D2,3.1771886
NODEAP_83,295,C,S2D1,2.5487368
NODEAP_83,296,S,S2D2,3.249198
NODEAP_83,297,C,S3D2,3.5563917
NODEAP_84,299,S,S1D1,4.0567226
NODEAP_84,300,S,S1D2,2.8944175
NODEAP_84,301,C,S2D1,3.141627
NODEAP_84,302,S,S2D2,1.841589
NODEAP_84,303,S,S3D1,6.3609543
NODEAP_84,304,C,S3D2,2.9891322
NODEAP_85,306,C,S1D1,4.0509176
NODEAP_85,307,S,S1D2,6.1865835
NODEAP_85,308,S,S2D1,3.6784966
NODEAP_85,309,S,S2D2,3.9163907
NODEAP_85,310,S,S3D1,4.2810307
NODEAP_85,311,C,S3D2,3.2364645
NODEAP_86,313,C,S1D1,7.236222
NODEAP_86,314,S,S1D2,6.591574
NODEAP_86,315,S,S2D1,6.8470244
NODEAP_86,316,C,S2D2,5.73637
NODEAP_86,317,S,S3D1,5.5400925
NODEAP_86,318,S,S3D2,4.606439
