subject,index,condition,session,distance_to_null
NODEAP_06,1,S,S1D1,3.042004
NODEAP_06,2,S,S1D2,3.9063666
NODEAP_06,3,S,S2D1,3.3076522
NODEAP_06,4,C,S2D2,3.8162954
NODEAP_06,5,C,S3D1,2.6210933
NODEAP_06,6,S,S3D2,2.4971802
NODEAP_07,8,S,S1D1,3.4522402
NODEAP_07,9,S,S1D2,3.125543
NODEAP_07,10,C,S2D1,3.3048992
NODEAP_07,11,S,S2D2,9.338967
NODEAP_07,12,S,S3D1,3.7975223
NODEAP_07,13,C,S3D2,2.768133
NODEAP_08,15,C,S1D1,4.3117228
NODEAP_08,16,S,S1D2,3.1658158
NODEAP_08,17,S,S2D1,3.12722
NODEAP_08,18,S,S2D2,4.61827
NODEAP_08,19,S,S3D1,2.717786
NODEAP_08,20,C,S3D2,2.3997746
NODEAP_09,22,S,S1D1,3.5830324
NODEAP_09,23,S,S1D2,3.781869
NODEAP_09,24,S,S2D1,4.461298
NODEAP_09,25,C,S2D2,1.8463298
NODEAP_09,26,C,S3D1,3.0360246
NODEAP_09,27,S,S3D2,3.7675495
NODEAP_10,29,S,S1D1,3.4697917
NODEAP_10,30,S,S1D2,3.8019574
NODEAP_10,31,S,S2D1,3.3284748
NODEAP_10,32,C,S2D2,2.7599916
NODEAP_10,33,C,S3D1,2.4022062
NODEAP_10,34,S,S3D2,3.9799712
NODEAP_12,36,C,S1D1,4.3673315
NODEAP_12,37,S,S1D2,4.3616533
NODEAP_12,38,S,S2D1,4.6463246
NODEAP_12,39,C,S2D2,3.5984287
NODEAP_12,40,S,S3D1,6.8366656
NODEAP_12,41,S,S3D2,6.531599
NODEAP_13,43,S,S1D1,3.4323714
NODEAP_13,44,C,S1D2,2.3948665
NODEAP_13,45,S,S2D1,2.1761186
NODEAP_13,46,S,S2D2,2.3344653
NODEAP_13,47,C,S3D1,4.12715
NODEAP_13,48,S,S3D2,3.553161
NODEAP_15,50,S,S1D1,2.7054474
NODEAP_15,51,C,S1D2,2.9640803
NODEAP_15,52,S,S2D1,2.5004122
NODEAP_15,53,S,S2D2,4.452803
NODEAP_15,54,C,S3D1,4.3194137
NODEAP_15,55,S,S3D2,5.364514
NODEAP_16,57,S,S1D1,1.9078466
NODEAP_16,58,C,S1D2,2.9273126
NODEAP_16,59,S,S2D1,2.5157409
NODEAP_16,60,S,S2D2,2.3650534
NODEAP_16,61,C,S3D1,2.5646803
NODEAP_16,62,S,S3D2,2.994911
NODEAP_17,64,S,S1D1,3.6768117
NODEAP_17,65,C,S1D2,2.495926
NODEAP_17,66,C,S2D1,3.1815286
NODEAP_17,67,S,S2D2,3.9448447
NODEAP_17,68,S,S3D1,3.586181
NODEAP_17,69,S,S3D2,2.9762597
NODEAP_24,71,S,S1D1,3.0292335
NODEAP_24,72,S,S1D2,2.4924486
NODEAP_24,73,S,S2D1,3.4886856
NODEAP_24,74,C,S2D2,3.188733
NODEAP_24,75,C,S3D1,3.2609818
NODEAP_24,76,S,S3D2,3.858911
NODEAP_26,78,S,S1D1,1.780395
NODEAP_26,79,C,S1D2,5.1478353
NODEAP_26,80,C,S2D1,2.750669
NODEAP_26,81,S,S2D2,2.4277327
NODEAP_26,82,S,S3D1,2.6058524
NODEAP_26,83,S,S3D2,3.2096288
NODEAP_30,85,S,S1D1,2.4668074
NODEAP_30,86,C,S1D2,1.8053977
NODEAP_30,87,C,S2D1,3.2298937
NODEAP_30,88,S,S2D2,3.2026472
NODEAP_30,89,S,S3D1,2.0337021
NODEAP_34,91,C,S1D1,2.4386022
NODEAP_34,92,S,S1D2,2.974013
NODEAP_34,93,S,S2D1,2.16391
NODEAP_34,94,S,S2D2,2.2978528
NODEAP_34,95,S,S3D1,3.436584
NODEAP_34,96,C,S3D2,2.755994
NODEAP_35,98,C,S1D1,2.5879056
NODEAP_35,99,S,S1D2,2.1331317
NODEAP_35,100,S,S2D1,3.5165894
NODEAP_35,101,C,S2D2,2.357544
NODEAP_35,102,S,S3D1,2.4262578
NODEAP_35,103,S,S3D2,2.4262578
NODEAP_36,105,C,S1D1,5.113694
NODEAP_36,106,S,S1D2,5.487158
NODEAP_36,107,S,S2D1,3.9517016
NODEAP_36,108,C,S2D2,5.859909
NODEAP_36,109,S,S3D1,2.938053
NODEAP_36,110,S,S3D2,4.881115
NODEAP_39,112,S,S1D1,2.2887902
NODEAP_39,113,S,S1D2,3.4038987
NODEAP_39,114,S,S2D1,3.1933973
NODEAP_39,115,C,S2D2,3.3917007
NODEAP_39,116,C,S3D1,3.5163865
NODEAP_39,117,S,S3D2,2.6482773
NODEAP_41,119,S,S1D1,2.4342349
NODEAP_41,120,C,S1D2,1.6929183
NODEAP_41,121,C,S2D1,1.5316145
NODEAP_41,122,S,S2D2,3.9046497
NODEAP_41,123,S,S3D1,2.998198
NODEAP_41,124,S,S3D2,3.9830549
NODEAP_43,126,C,S1D1,3.417499
NODEAP_43,127,S,S1D2,3.6470883
NODEAP_43,128,S,S2D1,3.2198477
NODEAP_43,129,C,S2D2,4.3639903
NODEAP_43,130,S,S3D1,2.423955
NODEAP_43,131,S,S3D2,2.5054443
NODEAP_44,133,S,S1D2,4.9471064
NODEAP_44,134,S,S2D1,3.3312464
NODEAP_44,135,C,S2D2,5.13861
NODEAP_44,136,S,S3D1,5.641735
NODEAP_44,137,S,S3D2,4.1539392
NODEAP_45,139,S,S1D1,2.3868287
NODEAP_45,140,S,S1D2,1.6174089
NODEAP_45,141,C,S2D1,2.5372727
NODEAP_45,142,S,S2D2,3.430448
NODEAP_45,143,S,S3D1,2.3598204
NODEAP_45,144,C,S3D2,3.2658901
NODEAP_46,146,S,S1D1,3.2677932
NODEAP_46,147,C,S1D2,3.2773693
NODEAP_46,148,C,S2D1,4.213465
NODEAP_46,149,S,S2D2,2.4698865
NODEAP_46,150,S,S3D1,4.1218977
NODEAP_46,151,S,S3D2,3.1016686
NODEAP_48,153,C,S1D1,2.4477034
NODEAP_48,154,S,S1D2,3.3426785
NODEAP_48,155,S,S2D1,2.8481503
NODEAP_48,156,C,S2D2,2.5076
NODEAP_48,157,S,S3D1,3.213165
NODEAP_48,158,S,S3D2,4.1042366
NODEAP_51,160,S,S1D1,3.9458454
NODEAP_51,161,S,S1D2,4.073772
NODEAP_51,162,S,S2D1,5.5948706
NODEAP_51,163,C,S2D2,4.54888
NODEAP_51,164,C,S3D1,3.6448178
NODEAP_51,165,S,S3D2,5.2992415
NODEAP_53,167,S,S1D1,2.8385315
NODEAP_53,168,C,S1D2,3.0011854
NODEAP_53,169,S,S2D1,3.5056257
NODEAP_53,170,S,S2D2,3.6915405
NODEAP_53,171,C,S3D1,5.7951903
NODEAP_53,172,S,S3D2,3.780604
NODEAP_55,174,S,S1D1,2.6366367
NODEAP_55,175,S,S1D2,7.598131e-08
NODEAP_55,176,C,S2D1,2.3654974
NODEAP_55,177,S,S2D2,2.216631
NODEAP_55,178,S,S3D1,3.0361228
NODEAP_55,179,C,S3D2,2.4392538
NODEAP_56,181,S,S1D1,1.4421891
NODEAP_56,182,S,S1D2,3.9850945
NODEAP_56,183,S,S2D1,4.002723
NODEAP_56,184,C,S2D2,2.5987644
NODEAP_56,185,C,S3D1,2.6721087
NODEAP_56,186,S,S3D2,2.6858444
NODEAP_59,188,S,S1D1,4.415309
NODEAP_59,189,C,S1D2,2.1627846
NODEAP_59,190,C,S2D1,4.556361
NODEAP_59,191,S,S2D2,2.1784756
NODEAP_59,192,S,S3D1,2.035606
NODEAP_59,193,S,S3D2,4.14076
NODEAP_60,195,C,S1D1,4.237031
NODEAP_60,196,S,S1D2,3.1215048
NODEAP_60,197,S,S2D1,3.6083207
NODEAP_60,198,S,S2D2,4.981452
NODEAP_60,199,S,S3D1,3.0867312
NODEAP_60,200,C,S3D2,3.9932814
NODEAP_63,202,S,S1D1,3.7343273
NODEAP_63,203,S,S1D2,6.206507
NODEAP_63,204,C,S2D1,3.6068583
NODEAP_63,205,S,S2D2,2.8889158
NODEAP_63,206,S,S3D1,5.047995
NODEAP_63,207,C,S3D2,2.9400227
NODEAP_64,209,C,S1D1,3.340422
NODEAP_64,210,S,S1D2,3.3570714
NODEAP_64,211,S,S2D1,3.565128
NODEAP_64,212,S,S2D2,3.2738008
NODEAP_64,213,S,S3D1,4.0396695
NODEAP_64,214,C,S3D2,2.8368597
