subject,index,condition,session,distance_to_null
NODEAP_06,1,S,S1D1,3.9227486
NODEAP_06,2,S,S1D2,5.625768
NODEAP_06,3,S,S2D1,3.5094304
NODEAP_06,4,C,S2D2,5.1686034
NODEAP_06,5,C,S3D1,4.6572566
NODEAP_06,6,S,S3D2,4.953141
NODEAP_07,8,S,S1D1,3.686222
NODEAP_07,9,S,S1D2,2.7522657
NODEAP_07,10,C,S2D1,3.2457762
NODEAP_07,11,S,S2D2,6.159429
NODEAP_07,12,S,S3D1,4.0576034
NODEAP_07,13,C,S3D2,4.8815184
NODEAP_08,15,C,S1D1,2.1294553
NODEAP_08,16,S,S1D2,2.5474126
NODEAP_08,17,S,S2D1,2.6918094
NODEAP_08,18,S,S2D2,2.7467358
NODEAP_08,19,S,S3D1,3.7919114
NODEAP_08,20,C,S3D2,3.8206828
NODEAP_09,22,S,S1D1,2.05129
NODEAP_09,23,S,S1D2,2.83689
NODEAP_09,24,S,S2D1,3.8352768
NODEAP_09,25,C,S2D2,2.1655722
NODEAP_09,26,C,S3D1,3.0701196
NODEAP_09,27,S,S3D2,3.4082525
NODEAP_10,29,S,S1D1,3.7136912
NODEAP_10,30,S,S1D2,3.3790166
NODEAP_10,31,S,S2D1,3.043028
NODEAP_10,32,C,S2D2,3.1311185
NODEAP_10,33,C,S3D1,2.4703953
NODEAP_10,34,S,S3D2,2.7900832
NODEAP_12,36,C,S1D1,3.1206894
NODEAP_12,37,S,S1D2,5.763536
NODEAP_12,38,S,S2D1,5.5851164
NODEAP_12,39,C,S2D2,2.2519085
NODEAP_12,40,S,S3D1,4.1009445
NODEAP_12,41,S,S3D2,1.9134327
NODEAP_13,43,S,S1D1,4.2304125
NODEAP_13,44,C,S1D2,2.8736782
NODEAP_13,45,S,S2D1,3.1386068
NODEAP_13,46,S,S2D2,6.193892
NODEAP_13,47,C,S3D1,3.1370957
NODEAP_13,48,S,S3D2,3.4606287
NODEAP_15,50,S,S1D1,3.613003
NODEAP_15,51,C,S1D2,3.6553864
NODEAP_15,52,S,S2D1,2.705641
NODEAP_15,53,S,S2D2,3.0468874
NODEAP_15,54,C,S3D1,3.4443624
NODEAP_15,55,S,S3D2,1.8939006
NODEAP_16,57,S,S1D1,2.431287
NODEAP_16,58,C,S1D2,3.5453544
NODEAP_16,59,S,S2D1,4.366998
NODEAP_16,60,S,S2D2,4.4917893
NODEAP_16,61,C,S3D1,4.3833485
NODEAP_16,62,S,S3D2,2.9955008
NODEAP_17,64,S,S1D1,3.3885083
NODEAP_17,65,C,S1D2,2.1341753
NODEAP_17,66,C,S2D1,3.7262964
NODEAP_17,67,S,S2D2,4.0003724
NODEAP_17,68,S,S3D1,3.6638584
NODEAP_17,69,S,S3D2,4.187607
NODEAP_24,71,S,S1D1,3.6145802
NODEAP_24,72,S,S1D2,3.5387416
NODEAP_24,73,S,S2D1,2.3023994
NODEAP_24,74,C,S2D2,2.6803129
NODEAP_24,75,C,S3D1,3.5285473
NODEAP_24,76,S,S3D2,5.1160398
NODEAP_26,78,S,S1D1,4.259645
NODEAP_26,79,C,S1D2,3.0689435
NODEAP_26,80,C,S2D1,4.405072
NODEAP_26,81,S,S2D2,3.0342171
NODEAP_26,82,S,S3D1,2.9263978
NODEAP_26,83,S,S3D2,2.5425222
NODEAP_30,85,S,S1D1,4.776486
NODEAP_30,86,C,S1D2,4.1471095
NODEAP_30,87,C,S2D1,3.6313794
NODEAP_30,88,S,S2D2,5.53862
NODEAP_30,89,S,S3D1,4.4143734
NODEAP_34,91,C,S1D1,4.5859656
NODEAP_34,92,S,S1D2,3.5702207
NODEAP_34,93,S,S2D1,1.5869917
NODEAP_34,94,S,S2D2,3.3865285
NODEAP_34,95,S,S3D1,5.881208
NODEAP_34,96,C,S3D2,4.4495773
NODEAP_35,98,C,S1D1,3.4454446
NODEAP_35,99,S,S1D2,5.407715
NODEAP_35,100,S,S2D1,5.6486363
NODEAP_35,101,C,S2D2,4.6778216
NODEAP_35,102,S,S3D1,4.7605796
NODEAP_35,103,S,S3D2,4.7605796
NODEAP_36,105,C,S1D1,4.320962
NODEAP_36,106,S,S1D2,3.4668999
NODEAP_36,107,S,S2D1,3.773718
NODEAP_36,108,C,S2D2,3.696925
NODEAP_36,109,S,S3D1,2.895104
NODEAP_36,110,S,S3D2,2.405007
NODEAP_39,112,S,S1D1,2.7546575
NODEAP_39,113,S,S1D2,2.0044973
NODEAP_39,114,S,S2D1,2.0997217
NODEAP_39,115,C,S2D2,3.4160197
NODEAP_39,116,C,S3D1,3.3548422
NODEAP_39,117,S,S3D2,2.9374657
NODEAP_41,119,S,S1D1,4.2779484
NODEAP_41,120,C,S1D2,4.633801
NODEAP_41,121,C,S2D1,4.12145
NODEAP_41,122,S,S2D2,3.3218427
NODEAP_41,123,S,S3D1,3.0529184
NODEAP_41,124,S,S3D2,3.0269635
NODEAP_43,126,C,S1D1,3.4278314
NODEAP_43,127,S,S1D2,3.0434837
NODEAP_43,128,S,S2D1,3.7182329
NODEAP_43,129,C,S2D2,3.3905811
NODEAP_43,130,S,S3D1,2.6123905
NODEAP_43,131,S,S3D2,3.1842933
NODEAP_44,133,S,S1D2,1.856262
NODEAP_44,134,S,S2D1,2.6258228
NODEAP_44,135,C,S2D2,4.325316
NODEAP_44,136,S,S3D1,3.273844
NODEAP_44,137,S,S3D2,3.4920962
NODEAP_45,139,S,S1D1,2.8684592
NODEAP_45,140,S,S1D2,4.8365507
NODEAP_45,141,C,S2D1,3.2932565
NODEAP_45,142,S,S2D2,6.445731
NODEAP_45,143,S,S3D1,2.1839094
NODEAP_45,144,C,S3D2,3.6395311
NODEAP_46,146,S,S1D1,3.5105884
NODEAP_46,147,C,S1D2,3.5400462
NODEAP_46,148,C,S2D1,4.0723095
NODEAP_46,149,S,S2D2,3.1129239
NODEAP_46,150,S,S3D1,3.6024904
NODEAP_46,151,S,S3D2,3.433044
NODEAP_48,153,C,S1D1,2.4826086
NODEAP_48,154,S,S1D2,3.3368337
NODEAP_48,155,S,S2D1,3.6983857
NODEAP_48,156,C,S2D2,3.515396
NODEAP_48,157,S,S3D1,3.48072
NODEAP_48,158,S,S3D2,1.6905499
NODEAP_51,160,S,S1D1,6.123278
NODEAP_51,161,S,S1D2,2.6257074
NODEAP_51,162,S,S2D1,4.7594843
NODEAP_51,163,C,S2D2,6.173247
NODEAP_51,164,C,S3D1,3.7005894
NODEAP_51,165,S,S3D2,4.6417747
NODEAP_53,167,S,S1D1,2.277281
NODEAP_53,168,C,S1D2,3.454951
NODEAP_53,169,S,S2D1,4.376224
NODEAP_53,170,S,S2D2,3.3613777
NODEAP_53,171,C,S3D1,2.317109
NODEAP_53,172,S,S3D2,2.4921024
NODEAP_55,174,S,S1D1,2.620559
NODEAP_55,175,S,S1D2,1.7441361e-07
NODEAP_55,176,C,S2D1,4.014883
NODEAP_55,177,S,S2D2,3.7741907
NODEAP_55,178,S,S3D1,2.49136
NODEAP_55,179,C,S3D2,2.8832915
NODEAP_56,181,S,S1D1,2.3530948
NODEAP_56,182,S,S1D2,2.1669993
NODEAP_56,183,S,S2D1,3.0987997
NODEAP_56,184,C,S2D2,4.043659
NODEAP_56,185,C,S3D1,3.2071981
NODEAP_56,186,S,S3D2,3.0833743
NODEAP_59,188,S,S1D1,2.7539551
NODEAP_59,189,C,S1D2,3.750333
NODEAP_59,190,C,S2D1,3.7963386
NODEAP_59,191,S,S2D2,4.199519
NODEAP_59,192,S,S3D1,4.2544656
NODEAP_59,193,S,S3D2,2.844319
NODEAP_60,195,C,S1D1,3.3146439
NODEAP_60,196,S,S1D2,3.506363
NODEAP_60,197,S,S2D1,3.3834774
NODEAP_60,198,S,S2D2,2.3211033
NODEAP_60,199,S,S3D1,2.788522
NODEAP_60,200,C,S3D2,3.0672097
NODEAP_63,202,S,S1D1,2.0054193
NODEAP_63,203,S,S1D2,5.26369
NODEAP_63,204,C,S2D1,3.2258768
NODEAP_63,205,S,S2D2,3.7338488
NODEAP_63,206,S,S3D1,2.3677409
NODEAP_63,207,C,S3D2,3.4280057
NODEAP_64,209,C,S1D1,2.4793718
NODEAP_64,210,S,S1D2,2.907288
NODEAP_64,211,S,S2D1,2.491933
NODEAP_64,212,S,S2D2,3.2471156
NODEAP_64,213,S,S3D1,2.49004
NODEAP_64,214,C,S3D2,4.0364146
NODEAP_65,216,C,S1D1,1.5939755
NODEAP_65,217,S,S1D2,3.1680892
NODEAP_65,218,S,S2D1,3.8041084
NODEAP_65,219,C,S2D2,2.4829183
NODEAP_65,220,S,S3D1,2.2005277
NODEAP_65,221,S,S3D2,1.9213781
NODEAP_66,223,S,S1D1,3.317413
NODEAP_66,224,C,S1D2,3.5982997
NODEAP_66,225,C,S2D1,3.6714323
NODEAP_66,226,S,S2D2,1.971761
NODEAP_66,227,S,S3D1,3.1790621
NODEAP_66,228,S,S3D2,2.8741105
NODEAP_68,230,C,S1D1,2.5906584
NODEAP_68,231,S,S1D2,2.172581
NODEAP_68,232,S,S2D1,2.9520948
NODEAP_68,233,S,S2D2,2.9076147
NODEAP_68,234,S,S3D1,2.0005846
NODEAP_68,235,C,S3D2,2.4269474
NODEAP_70,237,S,S1D1,4.367823
NODEAP_70,238,S,S1D2,3.236442
NODEAP_70,239,C,S2D1,3.0880716
NODEAP_70,240,S,S2D2,2.7174203
NODEAP_70,241,S,S3D1,2.3160276
NODEAP_70,242,C,S3D2,3.4259005
NODEAP_73,244,C,S1D1,1.9924043
NODEAP_73,245,S,S1D2,4.59937
NODEAP_73,246,S,S2D1,5.0349154
NODEAP_73,247,C,S2D2,5.273898
NODEAP_73,248,S,S3D1,2.80001
NODEAP_73,249,S,S3D2,4.694167
NODEAP_74,251,S,S1D1,1.914039
NODEAP_74,252,S,S1D2,1.7266713
NODEAP_74,253,C,S2D1,2.5925848
NODEAP_74,254,S,S2D2,2.1239634
NODEAP_74,255,S,S3D1,2.9378562
NODEAP_74,256,C,S3D2,3.015351
NODEAP_76,258,S,S1D1,2.140051
NODEAP_76,259,C,S1D2,2.5109558
NODEAP_76,260,C,S2D1,3.4960213
NODEAP_76,261,S,S2D2,2.2207057
NODEAP_76,262,S,S3D1,2.9345267
NODEAP_76,263,S,S3D2,2.4243684
NODEAP_77,265,C,S1D1,3.0766337
NODEAP_77,266,S,S1D2,3.846614
NODEAP_77,267,S,S2D1,2.261997
NODEAP_77,268,S,S2D2,4.4389644
NODEAP_77,269,S,S3D1,3.9698966
NODEAP_77,270,C,S3D2,3.4632747
NODEAP_78,272,S,S1D1,0.0
NODEAP_78,273,C,S1D2,2.099692
NODEAP_78,274,S,S2D1,3.1225266
NODEAP_78,275,S,S2D2,2.626286
NODEAP_78,276,C,S3D1,2.518693
NODEAP_78,277,S,S3D2,1.7789657
NODEAP_79,279,S,S1D1,2.8161206
NODEAP_79,280,C,S1D2,1.668202
NODEAP_79,281,S,S2D1,2.4866726
NODEAP_79,282,S,S2D2,3.3451974
NODEAP_79,283,C,S3D1,3.509159
NODEAP_79,284,S,S3D2,4.7198443
NODEAP_80,286,S,S1D1,4.679927
NODEAP_80,287,C,S1D2,5.847854
NODEAP_80,288,S,S2D1,4.083551
NODEAP_80,289,S,S2D2,5.8475018
NODEAP_80,290,C,S3D1,3.4697096
NODEAP_80,291,S,S3D2,4.873069
NODEAP_83,293,S,S1D1,2.166492
NODEAP_83,294,S,S1D2,2.9799232
NODEAP_83,295,C,S2D1,3.0415392
NODEAP_83,296,S,S2D2,3.7826796
NODEAP_83,297,C,S3D2,2.6165473
NODEAP_84,299,S,S1D1,4.397678
NODEAP_84,300,S,S1D2,2.9945421
NODEAP_84,301,C,S2D1,2.5186749
NODEAP_84,302,S,S2D2,3.09773
NODEAP_84,303,S,S3D1,2.8177574
NODEAP_84,304,C,S3D2,3.8466773
NODEAP_85,306,C,S1D1,3.8591876
