subject,index,condition,session,distance_to_null
NODEAP_06,1,S,S1D1,4.0137444
NODEAP_06,2,S,S1D2,4.293958
NODEAP_06,3,S,S2D1,3.5940475
NODEAP_06,4,C,S2D2,3.1842504
NODEAP_06,5,C,S3D1,2.972067
NODEAP_06,6,S,S3D2,4.714485
NODEAP_07,8,S,S1D1,3.328444
NODEAP_07,9,S,S1D2,2.721189
NODEAP_07,10,C,S2D1,3.042582
NODEAP_07,11,S,S2D2,10.9226675
NODEAP_07,12,S,S3D1,2.4174821
NODEAP_07,13,C,S3D2,2.2958055
NODEAP_08,15,C,S1D1,1.7030479
NODEAP_08,16,S,S1D2,1.8415668
NODEAP_08,17,S,S2D1,2.488515
NODEAP_08,18,S,S2D2,1.8316052
NODEAP_08,19,S,S3D1,1.9142413
NODEAP_08,20,C,S3D2,1.6057779
NODEAP_09,22,S,S1D1,3.4833307
NODEAP_09,23,S,S1D2,2.5150495
NODEAP_09,24,S,S2D1,2.9475052
NODEAP_09,25,C,S2D2,3.2067063
NODEAP_09,26,C,S3D1,2.985379
NODEAP_09,27,S,S3D2,2.7012491
NODEAP_10,29,S,S1D1,3.2680018
NODEAP_10,30,S,S1D2,3.923833
NODEAP_10,31,S,S2D1,3.00768
NODEAP_10,32,C,S2D2,1.5538651
NODEAP_10,33,C,S3D1,1.7646468
NODEAP_10,34,S,S3D2,3.2877858
NODEAP_12,36,C,S1D1,3.421662
NODEAP_12,37,S,S1D2,4.58887
NODEAP_12,38,S,S2D1,4.363038
NODEAP_12,39,C,S2D2,3.740828
NODEAP_12,40,S,S3D1,4.722682
NODEAP_12,41,S,S3D2,4.016396
NODEAP_13,43,S,S1D1,3.9565585
NODEAP_13,44,C,S1D2,3.3872385
NODEAP_13,45,S,S2D1,1.7255335
NODEAP_13,46,S,S2D2,3.5224934
NODEAP_13,47,C,S3D1,4.9020324
NODEAP_13,48,S,S3D2,3.8194523
NODEAP_15,50,S,S1D1,5.3317237
NODEAP_15,51,C,S1D2,2.0934558
NODEAP_15,52,S,S2D1,3.922265
NODEAP_15,53,S,S2D2,4.315729
NODEAP_15,54,C,S3D1,5.9525623
NODEAP_15,55,S,S3D2,4.414199
NODEAP_16,57,S,S1D1,1.9536008
NODEAP_16,58,C,S1D2,3.3634558
NODEAP_16,59,S,S2D1,3.779773
NODEAP_16,60,S,S2D2,2.5876582
NODEAP_16,61,C,S3D1,1.3747486
NODEAP_16,62,S,S3D2,2.6318939
NODEAP_17,64,S,S1D1,6.136197
NODEAP_17,65,C,S1D2,5.579826
NODEAP_17,66,C,S2D1,4.675793
NODEAP_17,67,S,S2D2,6.459228
NODEAP_17,68,S,S3D1,4.8819594
NODEAP_17,69,S,S3D2,5.09567
NODEAP_24,71,S,S1D1,4.1277533
NODEAP_24,72,S,S1D2,2.0097363
NODEAP_24,73,S,S2D1,2.8268466
NODEAP_24,74,C,S2D2,2.4924307
NODEAP_24,75,C,S3D1,3.5413146
NODEAP_24,76,S,S3D2,4.2934527
NODEAP_26,78,S,S1D1,1.6852988
NODEAP_26,79,C,S1D2,3.6612055
NODEAP_26,80,C,S2D1,3.2824259
NODEAP_26,81,S,S2D2,3.7088838
NODEAP_26,82,S,S3D1,3.0315592
NODEAP_26,83,S,S3D2,3.7333395
NODEAP_30,85,S,S1D1,3.7972631
NODEAP_30,86,C,S1D2,3.67496
NODEAP_30,87,C,S2D1,4.54714
NODEAP_30,88,S,S2D2,2.822472
NODEAP_30,89,S,S3D1,4.667236
NODEAP_34,91,C,S1D1,2.4701195
NODEAP_34,92,S,S1D2,1.1170584
NODEAP_34,93,S,S2D1,2.0147095
NODEAP_34,94,S,S2D2,1.867043
NODEAP_34,95,S,S3D1,2.530564
NODEAP_34,96,C,S3D2,2.4702215
NODEAP_35,98,C,S1D1,2.4184651
NODEAP_35,99,S,S1D2,2.8266418
NODEAP_35,100,S,S2D1,2.3385584
NODEAP_35,101,C,S2D2,3.776148
NODEAP_35,102,S,S3D1,2.434099
NODEAP_35,103,S,S3D2,2.434099
NODEAP_36,105,C,S1D1,2.9284365
NODEAP_36,106,S,S1D2,2.7974858
NODEAP_36,107,S,S2D1,4.317429
NODEAP_36,108,C,S2D2,2.183158
NODEAP_36,109,S,S3D1,3.3929615
NODEAP_36,110,S,S3D2,2.951626
NODEAP_39,112,S,S1D1,3.2862842
NODEAP_39,113,S,S1D2,4.5307546
NODEAP_39,114,S,S2D1,3.4038196
NODEAP_39,115,C,S2D2,4.359094
NODEAP_39,116,C,S3D1,4.709506
NODEAP_39,117,S,S3D2,3.2766244
NODEAP_41,119,S,S1D1,4.7419715
NODEAP_41,120,C,S1D2,3.714083
NODEAP_41,121,C,S2D1,6.42747
NODEAP_41,122,S,S2D2,2.7017486
NODEAP_41,123,S,S3D1,4.673647
NODEAP_41,124,S,S3D2,4.463448
NODEAP_43,126,C,S1D1,2.4037392
NODEAP_43,127,S,S1D2,3.3298576
NODEAP_43,128,S,S2D1,3.2797134
NODEAP_43,129,C,S2D2,3.3452642
NODEAP_43,130,S,S3D1,3.0783427
NODEAP_43,131,S,S3D2,2.983961
NODEAP_44,133,S,S1D2,3.398072
NODEAP_44,134,S,S2D1,2.2358904
NODEAP_44,135,C,S2D2,2.8001974
NODEAP_44,136,S,S3D1,2.235844
NODEAP_44,137,S,S3D2,1.0920018
NODEAP_45,139,S,S1D1,1.7612215
NODEAP_45,140,S,S1D2,2.5416052
NODEAP_45,141,C,S2D1,1.6832448
NODEAP_45,142,S,S2D2,2.6737862
NODEAP_45,143,S,S3D1,2.393166
NODEAP_45,144,C,S3D2,2.166155
NODEAP_46,146,S,S1D1,2.1866908
NODEAP_46,147,C,S1D2,1.8433058
NODEAP_46,148,C,S2D1,2.7679436
NODEAP_46,149,S,S2D2,2.7795064
NODEAP_46,150,S,S3D1,2.889027
NODEAP_46,151,S,S3D2,2.150392
NODEAP_48,153,C,S1D1,2.6970508
NODEAP_48,154,S,S1D2,2.9295866
NODEAP_48,155,S,S2D1,2.4809768
NODEAP_48,156,C,S2D2,4.5051217
NODEAP_48,157,S,S3D1,1.2732071
NODEAP_48,158,S,S3D2,3.3801942
NODEAP_51,160,S,S1D1,7.155195
NODEAP_51,161,S,S1D2,2.5997517
NODEAP_51,162,S,S2D1,4.2611814
NODEAP_51,163,C,S2D2,2.9683485
NODEAP_51,164,C,S3D1,5.1748385
NODEAP_51,165,S,S3D2,4.1190877
NODEAP_53,167,S,S1D1,3.1133282
NODEAP_53,168,C,S1D2,3.3494916
NODEAP_53,169,S,S2D1,2.1880815
NODEAP_53,170,S,S2D2,2.8174708
NODEAP_53,171,C,S3D1,3.5714655
