subject,d_null_sham,d_null_real,diff_real_minus_sham
NODEAP_06,3.670579195022583,4.670835971832275,1.0002567768096924
NODEAP_07,3.20047664642334,3.4505200386047363,0.2500433921813965
NODEAP_08,2.3047518730163574,2.826007604598999,0.5212557315826416
NODEAP_09,2.3835649490356445,2.2052245140075684,-0.17834043502807617
NODEAP_10,2.381817579269409,2.4645073413848877,0.08268976211547852
NODEAP_12,3.1229023933410645,2.0967352390289307,-1.0261671543121338
NODEAP_13,3.1034717559814453,2.313307046890259,-0.7901647090911865
NODEAP_15,2.16849684715271,2.7915844917297363,0.6230876445770264
NODEAP_16,2.728844404220581,3.8822078704833984,1.1533634662628174
NODEAP_17,3.4815871715545654,2.660270929336548,-0.8213162422180176
NODEAP_24,3.36141300201416,2.6607255935668945,-0.7006874084472656
NODEAP_26,2.417903423309326,2.7540643215179443,0.33616089820861816
NODEAP_30,4.721689701080322,3.6309449672698975,-1.0907447338104248
NODEAP_34,3.099372148513794,4.329777717590332,1.230405569076538
NODEAP_35,4.861546516418457,4.0292649269104,-0.8322815895080566
NODEAP_36,2.4801952838897705,2.559152603149414,0.07895731925964355
NODEAP_39,1.6528681516647339,3.0805442333221436,1.4276760816574097
NODEAP_41,2.7896878719329834,3.2441351413726807,0.45444726943969727
NODEAP_43,2.1150357723236084,3.1523170471191406,1.0372812747955322
NODEAP_44,1.6988532543182373,4.325315952301025,2.626462697982788
NODEAP_45,3.3421950340270996,3.1704258918762207,-0.1717691421508789
NODEAP_46,2.7460696697235107,3.5902416706085205,0.8441720008850098
NODEAP_48,2.2488977909088135,2.3148303031921387,0.0659325122833252
NODEAP_51,3.7123098373413086,4.154924392700195,0.4426145553588867
NODEAP_53,2.798395872116089,2.478055477142334,-0.3203403949737549
NODEAP_55,2.0856716632843018,2.716991424560547,0.6313197612762451
NODEAP_56,1.8674640655517578,3.1631932258605957,1.295729160308838
NODEAP_59,2.8658626079559326,3.240250587463379,0.3743879795074463
NODEAP_60,1.9723774194717407,2.6997087001800537,0.727331280708313
NODEAP_63,2.5814626216888428,2.9131171703338623,0.33165454864501953
NODEAP_64,2.224292039871216,3.0208451747894287,0.7965531349182129
NODEAP_65,1.9197883605957031,1.703389286994934,-0.21639907360076904
NODEAP_66,2.3782196044921875,3.4922096729278564,1.113990068435669
NODEAP_68,2.0542731285095215,2.3412840366363525,0.28701090812683105
NODEAP_70,2.77166748046875,2.9054388999938965,0.13377141952514648
NODEAP_73,3.4988090991973877,3.596388578414917,0.0975794792175293
NODEAP_74,1.3305162191390991,2.531169891357422,1.2006536722183228
NODEAP_76,1.7178089618682861,1.87143874168396,0.15362977981567383
NODEAP_77,3.1270792484283447,2.9890334606170654,-0.1380457878112793
NODEAP_78,1.300240159034729,1.8160552978515625,0.5158151388168335
NODEAP_79,2.550962209701538,2.3238205909729004,-0.2271416187286377
NODEAP_80,4.589993000030518,4.455557346343994,-0.13443565368652344
NODEAP_83,2.19704270362854,2.5739667415618896,0.3769240379333496
NODEAP_84,2.6724650859832764,2.9389703273773193,0.26650524139404297
NODEAP_85,3.240189552307129,3.1405715942382812,-0.09961795806884766
NODEAP_86,4.146186828613281,2.956732749938965,-1.1894540786743164
