SubID,StimLoc,TMS_effect_actual,TMS_effect_predicted
NODEAP_06,pOFC,0.08333333333333334,-0.1827996617958791
NODEAP_08,pOFC,-0.16666666666666663,-0.1690215698651757
NODEAP_09,pOFC,0.2698412698412699,0.0299554426800141
NODEAP_10,pOFC,0.19444444444444445,0.03892611609377078
NODEAP_15,pOFC,0.33333333333333326,0.383015788045699
NODEAP_16,pOFC,-0.2777777777777778,-0.0861732239081594
NODEAP_24,pOFC,-0.6587301587301587,-0.39297235717139345
NODEAP_26,pOFC,0.13888888888888884,0.12281228714024855
NODEAP_34,pOFC,-0.2222222222222222,-0.37270764444413657
NODEAP_35,pOFC,-0.16666666666666669,-0.041451528087280476
NODEAP_36,pOFC,0.3888888888888889,0.054786804935519684
NODEAP_44,pOFC,-0.11111111111111113,-0.06546824174285587
NODEAP_59,pOFC,0.05793650793650794,0.0687908876256306
NODEAP_63,pOFC,0.16666666666666657,0.25544192553207334
NODEAP_64,pOFC,0.11111111111111112,0.04144576918766606
NODEAP_65,pOFC,0.4558823529411765,0.33434280652127774
NODEAP_70,pOFC,0.3055555555555556,-0.028172877211575353
NODEAP_73,pOFC,-0.19444444444444442,0.026672652352783488
NODEAP_74,pOFC,-0.2777777777777777,0.27751201936063014
NODEAP_76,pOFC,0.2420634920634921,0.2612299374791667
NODEAP_77,pOFC,-0.477124183006536,-0.15435915750880225
NODEAP_79,pOFC,0.16666666666666674,0.12151997685540694
NODEAP_83,pOFC,0.7738095238095237,0.3768077823764193
NODEAP_88,pOFC,0.138888888888889,-0.16499713377962477
NODEAP_07,aOFC,0.4722222222222222,0.28464545853313394
NODEAP_12,aOFC,-0.11111111111111115,-0.07327010763179857
NODEAP_13,aOFC,-0.9166666666666666,-0.5365298323747747
NODEAP_30,aOFC,0.7777777777777778,0.5080188054844074
NODEAP_39,aOFC,-0.11111111111111116,-0.05134725098626419
NODEAP_41,aOFC,-0.30555555555555547,0.29961456408507625
NODEAP_43,aOFC,-0.05555555555555554,-0.04262560225288947
NODEAP_45,aOFC,0.8888888888888888,0.6876302948901605
NODEAP_46,aOFC,0.2682539682539683,0.4204831958329271
NODEAP_48,aOFC,0.21269841269841272,0.014792888691980866
NODEAP_51,aOFC,-0.3142857142857143,0.021657029368834457
NODEAP_53,aOFC,-0.05555555555555547,-0.057459456337913495
NODEAP_55,aOFC,0.44607843137254904,0.3537377871461501
NODEAP_56,aOFC,0.5,0.2530594482422069
NODEAP_60,aOFC,0.08333333333333343,0.010064916065627316
NODEAP_66,aOFC,0.11111111111111105,-0.041215018229804334
NODEAP_68,aOFC,-0.09920634920634924,0.2559069899014697
NODEAP_78,aOFC,-0.06587301587301586,0.1384415522669326
NODEAP_80,aOFC,0.13888888888888895,-0.12457291199972165
NODEAP_84,aOFC,-0.22222222222222232,0.07111936072811154
NODEAP_85,aOFC,-0.029411764705882304,-0.1444226346925851
NODEAP_86,aOFC,0,-0.22132664121862483
NODEAP_87,aOFC,0.3611111111111111,-0.016571051531282965
